Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
Lars Play Ltd,2017-18,"16,500","284,750",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,32990,Manufacturing,38 Garvagh Rd,, ,Dungannon,County Tyrone,BT70 3LS
Lowe Rental Ltd,2017-18,"1,250","2,500",Developing Innovation & Technology  ,0,Great Britain,External,Existing,LAGAN VALLEY,Lisburn and Castlereagh,77390,Administrative And Support Service Activities,Unit J Knockmore Industrial Estate, , ,Lisburn,County Antrim,BT28 2EJ
Fishing Tackle & Bait,2017-18,"7,500","25,000",Other,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,47789,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,1 Sligo Road,Old Scotch Store, ,Enniskillen,County Fermanagh,BT74 7JY
Oh So Lean Ltd,2017-18,875,"1,750",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",10130,Manufacturing,4-6 The Harbour,Kilkeel, ,Newry,County Down,BT34 4AX
Sydney B Scott & Sons,2017-18,"24,447","86,972",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,10390,Manufacturing,96 Moneybrannon Road, , ,Coleraine,County Londonderry,BT51 3SL
AuditComply,2017-18,"48,384","125,494",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62012,Information And Communication,"Suite 5,","Alexander House,","17A,Ormeau Ave,","Belfast,",County Antrim,BT2 8HD
Somerville (NI) Ltd,2017-18,"48,000","469,000",Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,Local,Existing,STRANGFORD,Lisburn and Castlereagh,31010,Manufacturing,7 Tower Lane,Hillsborough Road,Moneyreagh,Newtownards,County Down,BT23 6AY
Tasty Foods Cuisine Limited,2017-18,"31,083","69,196",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,10890,Manufacturing,6 & 7 Glenwood Business Park, , ,Belfast,County Antrim,BT17 0QL
Tasty Foods Cuisine Limited,2017-18,"54,900","316,150",Creating Jobs / Capital Investment / Business Development,7,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,10890,Manufacturing,6 & 7 Glenwood Business Park, , ,Belfast,County Antrim,BT17 0QL
Tasty Foods Cuisine Limited,2017-18,"8,000","20,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,10890,Manufacturing,6 & 7 Glenwood Business Park, , ,Belfast,County Antrim,BT17 0QL
Whitespace Global Limited,2017-18,"154,008","451,562",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,64303,Financial And Insurance Activities,The Baths,18 Ormeau Avenue, ,Belfast,County Antrim,BT2 8HS
WeBottle,2017-18,"49,900","517,000",Creating Jobs / Capital Investment / Business Development,9,Great Britain,External,New,BELFAST EAST,Lisburn and Castlereagh,21100,Manufacturing,"Unit G3, Inspire Business Park", ,Dundonald,Belfast,County Down,BT16 1QT
A W Control Systems Ltd,2017-18,"10,000","20,225",Developing Skills,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",26512,Manufacturing,92 Moy Road, , ,Armagh,County Armagh,BT61 8DR
2000 Weeks,2017-18,"1,250","2,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Antrim and Newtownabbey,70229,"Professional, Scientific And Technical Activities",29 Glenview Way, ,Whiteabbey,Newtownabbey,County Antrim,BT37 0TR
Northern Hydraulics Ltd,2017-18,"99,500","782,700",Creating Jobs / Capital Investment / Business Development,12,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28920,Manufacturing,63 Gortgonis Road, , ,Coalisland,County Tyrone,BT71 4QG
Power On Technologies Ltd,2017-18,"1,960","4,000",Developing Skills,0,Northern Ireland,Local,Existing,EAST ANTRIM,Causeway Coast and Glens,82990,Administrative And Support Service Activities,10-16 Coast Road,Cushendall, ,Ballymena,County Antrim,BT44 0RU
Bog Standard Products,2017-18,"46,680","155,600",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,STRANGFORD,Lisburn and Castlereagh,20411,Manufacturing,19A  Monlough Road West,Ballygowan, ,Newtownards,County Down,BT23 6ND
Cannon Coach and Bus Limited,2017-18,"31,116","105,370",Investing in R&D                    ,0,Northern Ireland,Local,Existing,WEST TYRONE,Derry City and Strabane,29201,Manufacturing,91 Orchard Road, , ,Strabane,County Tyrone,BT82 9QU
Craigavon TV Service Centre,2017-18,"28,000","262,000",Creating Jobs / Capital Investment / Business Development,7,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",26400,Manufacturing,17 Logan Drive, , ,Lurgan,County Armagh,BT66 8DA
Golden Popcorn,2017-18,"45,080","223,720",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,10612,Manufacturing,3A Orchard Close, , ,Antrim,County Antrim,BT41 2RZ
Newton Ground Engineering Ltd,2017-18,"2,628","5,255",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,42990,Construction,48 Kiltonga Industrial Estate,Old Belfast Road, ,Newtownards,County Down,BT23 4TJ
Vox Financial Partners Ltd,2017-18,"46,650","448,500",Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,64999,Financial And Insurance Activities,Scottish Provident Buildings,7 Donegall Square West, ,Belfast,County Antrim,BT1 6JH
GSF Livestock Systems Ltd.,2017-18,"2,250","4,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,28302,Manufacturing,11 Kee Road,Eglinton, ,Derry,County Londonderry,BT47 3PT
Duo Blast Equipment,2017-18,"1,550","3,100",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Mid and East Antrim,23610,Manufacturing,Unit D1/D2,Willowbank Business Park,Millbrook,Larne,County Antrim,BT40 2SF
Need of Meats Ltd,2017-18,"46,748","72,298",Investing in R&D                    ,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Newry, Mourne and Down",10130,Manufacturing,Block L Unit 1 WIN Business Park,Canal Quay, ,Newry,County Down,BT35 6PH
McWhinney's Sausages,2017-18,"46,280","373,600",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,Existing,NORTH DOWN,Ards and North Down,10130,Manufacturing,10 Balloo Way,Balloo Industrial Estate, ,Bangor,County Down,BT19 7QZ
Invitbox,2017-18,"70,879","230,928",Investing in R&D                    ,0,Australia,External,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",62012,Information And Communication,103 Gilford Road,Lurgan, ,Craigavon,County Down,BT66 7AH
Diamond Corrugated Cases Limited,2017-18,"99,200","799,532",Creating Jobs / Capital Investment / Business Development,13,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,17219,Manufacturing,12-13 Pennyburn Industrial Estate, , ,Derry,County Londonderry,BT48 0LU
AddMineral Systems Ltd,2017-18,"2,250","4,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Newry, Mourne and Down",28140,Manufacturing,46 Slatequarry Road,Cullyhanna, ,Newry,County Armagh,BT35 0PX
2000 Weeks,2017-18,608,"1,215",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Antrim and Newtownabbey,70229,"Professional, Scientific And Technical Activities",29 Glenview Way, ,Whiteabbey,Newtownabbey,County Antrim,BT37 0TR
High Yield Energy,2017-18,"4,165","8,329",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28110,Manufacturing,83 Gortscraheen Road,Pomeroy, ,Dungannon,County Tyrone,BT70 2SB
Hughes Mushrooms,2017-18,"89,645","448,225",Creating Jobs / Capital Investment / Business Development,11,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,10390,Manufacturing,118 Trewmount Road, , ,Dungannon,County Tyrone,BT71 7EF
Limitless Digital Solutions Limited,2017-18,"49,000","240,000",Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,61200,Information And Communication,Unit 4,Catalyst Inc,15 Queens Road,Belfast,County Down,BT3 9DT
The McAvoy Group Ltd,2017-18,"3,234","6,600",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,25110,Manufacturing,76 Ballynakilly Road, , ,Coalisland,County Tyrone,BT71 6HD
Securibar Innovation Limited,2017-18,648,"1,295",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,31090,Manufacturing,Linden House,236 Upper Newtownards Road, ,Belfast,County Down,BT4 3EU
Shropshire Stainless & Aluminium Ltd,2017-18,"22,360","77,038",Developing Innovation & Technology  ,0,Great Britain,External,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",24420,Manufacturing,39-40 Annesborough Industrial Estate,Annesborough Road, ,Lurgan,County Armagh,BT67 9JD
McAllister Bros Limited,2017-18,"19,224","59,188",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Newry, Mourne and Down",81229,Administrative And Support Service Activities,91 Drumalane Road, , ,Newry,County Armagh,BT35 8QJ
2000 Weeks,2017-18,"1,993","3,986",Developing Skills,0,Northern Ireland,Local,Existing,EAST ANTRIM,Antrim and Newtownabbey,70229,"Professional, Scientific And Technical Activities",29 Glenview Way, ,Whiteabbey,Newtownabbey,County Antrim,BT37 0TR
Rogers Fencing Supplies Ltd,2017-18,"32,799","183,920",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,43999,Construction,Unit A,76 Derrynoyd Road,Draperstown,Magherafelt,County Londonderry,BT45 7DW
Qubizm Limited,2017-18,"7,500","16,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,85590,Education,Suite 1.5 The Innovative Centre,Northern Ireland Science Park,Bay Road,Derry,County Londonderry,BT48 7TG
SafeCert Awards Ltd,2017-18,"4,500","9,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,85590,Education,38 Main Street, , ,Gortin,County Tyrone,BT79 8PH
CES Quarry Products Limited,2017-18,"7,749","19,697",Investing in R&D                    ,0,Northern Ireland,Local,Existing,STRANGFORD,"Newry, Mourne and Down",23610,Manufacturing,Doran's Rock,124 Crossgar Road,Saintfield,Ballynahinch,County Down,BT24 7JQ
