Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
Nugent Engineering,2013-14,"70,824","217,033",Developing Skills,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,28302,Manufacturing,15 Aughnagar Road,Galbally, ,Dungannon,County Tyrone,BT70 2PN
Huhtamaki Foodservice Delta,2013-14,"4,030,054","38,000,203",Creating Jobs / Capital Investment / Business Development,100,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,17219,Manufacturing,Unit 10 Kennedy Way Industrial Estate,Blackstaff Road, ,Belfast,County Antrim,BT11 9DT
Banah UK Ltd,2013-14,"69,160","373,472",Investing in R&D                    ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,23510,Manufacturing,1B Letterloan Road,Macosquin, ,Coleraine,County Londonderry,BT51 4PP
Newrock Engineering Ltd,2013-14,"99,864","265,816",Investing in R&D                    ,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",28302,Manufacturing,50 Seagahan Road,Collone, ,Armagh,County Armagh,BT60 2BH
Aromet,2013-14,"49,130","213,608",Developing Skills,0,United States of America,External,Existing,LAGAN VALLEY,Lisburn and Castlereagh,22190,Manufacturing,15 Ballinderry Industrial Estate,Ballinderry Road, ,Lisburn,County Antrim,BT28 2SA
Elmgrove Foods,2013-14,"89,488","274,720",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,10710,Manufacturing,"Suite 1, Davidson House",Glenavy Road Business Park, ,Moira,County Antrim,BT67 0LT
Dunbia (Northern Ireland),2014-15,"2,000,000","27,309,380",Creating Jobs / Capital Investment / Business Development,209,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,10110,Manufacturing,Granville Industrial Estate, , ,Dungannon,County Tyrone,BT70 1NJ
Cranswick Country Foods (Ballymena),2014-15,"600,000","4,099,000",Creating Jobs / Capital Investment / Business Development,85,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,10130,Manufacturing,146 Fenaghy Road,Cullybackey, ,Ballymena,County Antrim,BT42 1EA
Yelo Limited,2013-14,"96,541","244,241",Investing in R&D                    ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Mid and East Antrim,26511,Manufacturing,Trooperslane Industrial Estate,20 Meadowbank Road, ,Carrickfergus,County Antrim,BT38 8YF
InVision Software Ltd,2013-14,"31,499","93,479",Developing Skills,0,Germany,External,Existing,FOYLE,Derry City and Strabane,62012,Information And Communication,The Innovation Centre,Northern Ireland Science Park,Bay Road,Derry,County Londonderry,BT48 7TG
